Created date,Message,Image Link,Likes,Comments,Link clicks,Engagements,Reach,Organic Reach,Impressions
2024-08-26,"Whether you came to learn, connect, or party with drinks industry pros, #totc2024 By Invitation Only Events had you covered!
⁠
Attendees were able to explore iconic New Orleans venues at our By Invitation Only Events. Cheers to the incredible memories we created this year! 🥂 https://t.co/5NANpceQLc",,2,0,0,14,,,370
2024-06-28,"🏳️‍🌈We're celebrating #PrideMonth with Daddy Long Legs!🏳️‍⚧️ 

In their feature editorial, they detail life as a Black, Queer, &amp; Non-Binary bartender navigating predominately white spaces throughout their career.
⁠
You can read their full interview here: https://t.co/5GqKR9rXgR https://t.co/dRcY7MUKB3",,1,0,0,4,,,367
2024-07-12,"Mermaids, Magicians, and Mezcal - oh my! #totc2024 All Day Events are sure to be legendary 🎉⁠ 

Event attendees are invited to join us for this lineup of daytime events! Space at these events is limited, so secure your spot here: https://t.co/yYeRX22mMA https://t.co/RYxr4lg0Yk",,0,0,0,5,,,366
2024-08-23,"We are so grateful for those who joined us in quenching our thirst for inspiration at #totc2024 seminars! 📚
⁠
Our seminars gave attendees a look at the latest trends &amp; tricks of the trade. We want to thank everyone who joined us in celebrating the trailblazers of our industry! https://t.co/gWaXPcTv1x",,2,0,0,6,,,359
2024-08-07,"The New Orleans Spirits Competition is pleased to announce the 2024 Spirits of the Year winners from its 3rd annual competition, held at #totc2024! 🏆

#nosc celebrates best-in-class spirits from around the world! Learn about this year's winners here: https://t.co/w9fzqiZJRW https://t.co/MeVaWMbNkR",,5,0,0,17,,,356
2024-07-08,"Want to create your own agenda, RSVP to events, &amp; stay in the know about all things #totc2024? There's an app for that! 📲
⁠
Our 2024 Whova App is live on the Google Play &amp; Apple App Store for all registered attendees! Download our app here: https://t.co/kr5vOPpRPR https://t.co/Rgk2GcPQ72",,1,0,0,4,,,348
2024-09-13,"Congrats to the first winner of our Eras Tour Ticket Raffle! 🌟

There's still time to enter before the final drawing on 9/20 — secure your spot among our potential winners here: https://t.co/vWSiS5S6NC https://t.co/gBrDbQQMcA",,1,0,0,19,,,347
2024-08-28,"👏 Let's give it up for the dream team: the 2024 Cocktail Apprentices! 👏⁠
⁠
These 70 bartenders had the opportunity to hone their skills while learning about the history &amp; future of their craft during #totc2024. We couldn't do #totc without their creativity &amp; passion! 🌟🍹⁠ https://t.co/z9jq0GAPdh",,3,0,0,9,,,341
2024-07-10,"Don't miss the New Orleans Spirits Competition championship at #totc2024! Join the live audience to taste the Top 6 spirits as the experts determine which brands are worthy of being crowned Spirits of the Year 🏆  

Learn more &amp; purchase your tickets here: https://t.co/DohBTCPb2z https://t.co/US6p0DJHz5",,2,0,0,4,,,311
2024-09-12,"Have an idea that will inspire spirits pros? Submit your seminar proposal today &amp; connect with the global cocktail community at #TalesoftheCocktail2025!

Submit the topics you want to see at #totc2025 &amp; be part of the evolving needs of our industry here: https://t.co/cYeI6nbPyH https://t.co/KVJljlPBoo",,1,0,0,4,,,299
2024-09-17,"Our #TOTCFGrant2024 program recognizes organizations prioritizing bartender welfare &amp; well-being. We are proud to introduce another 2024 Grant Finalist, Focus On Health!

You can learn more about the 2024 grant recipients here: https://t.co/wR4y64IWBF https://t.co/luD92Kbrcq",,3,0,0,7,,,296
2024-09-06,"Our #TOTCFGrant2024 program recognizes organizations prioritizing bartender welfare &amp; well-being. We are proud to present this year's recipients, starting with Another Round, Another Rally! 

You can learn more about the 2024 grant recipients here: https://t.co/m1adWcp6pz https://t.co/8ntGUJdRWr",,2,0,0,4,,,281
2024-09-23,"We danced, we ate, &amp; we drank our way around the world at #totc2024 ✈️

From a worldwide celebration of creative cocktails to a savory soiree with a menu to die for, @Pernod_Ricard took our breath away at every step! Thank you to all attendees who embarked on this adventure! 🎉 https://t.co/s0e7cBJk5a",,0,0,0,5,,,275
2024-09-20,"Our #TOTCFGrant2024 program recognizes organizations prioritizing bartender welfare &amp; well-being. We are proud to introduce our final 2024 Grant Finalist, Safe Bars Inc.!

You can learn more about the 2024 grant recipients here: https://t.co/vFdTvr69wD https://t.co/sLhfjkwjWr",,0,0,0,0,,,260
