Date,Message,Image Link,Likes,Comments,Shares,Link Clicks,Engagements,Reach,Organic Reach,Impressions
2023-01-18,"A delicious cocktail + An excellent literary reference = 'Grapeness' achieved!🥇 Check out the 🍇Grapes of Wrath🍇 recipe from Jesse Cyr (@cocktailsbyjesse)! ⬇️

🍇 Hennessy VS
🍇 Orgeat
🍇 Lemon
🍇 Giffard Apricot
🍇 Angostura

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-2.xx.fbcdn.net/v/t39.30808-6/326011730_724080775961043_313100923173410500_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=JS_bk7Yc7u4Q7kNvgGjxp5X&_nc_ht=scontent-fra5-2.xx&edm=AKIiGfEEAAAA&oh=00_AYBUkXwVhOJz6FkziRBuXZs-Ce8_9uRYO16nVitNN746XA&oe=66F65E4B,10,0,0,1,11,2749,3274,3308
2023-01-25,"Happy #IrishCoffeeDay!☕️ We're celebrating with the the Lords of the Beans themselves, Bushmills Irish Whiskey & Dead Rabbit NYC! Check out the photo + recipe from their #TOTC2022 event — ""The Dead Rabbit Comes to Nola!"" ⬇️⁠

☕️ Bushmills Original
☕️ Demerara 
☕️ Aromatic Coffee 
☕️ Freshly Whipped Cream

📸: Bryan Tarnowski

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/327354890_3608580126036761_2219666613481041359_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=jq_jN51jwx4Q7kNvgExaQVH&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&oh=00_AYCDSYneVj6sMA_OzrhU6D2UgUFFcC-gYXNaTqdGLrS2nQ&oe=66F659C3,11,0,1,2,13,2144,2984,3045
2023-01-26,"We'd travel all the way to the savanna for this recipe — After all, it's 'wine' in a million!✨ Enjoy the 🦓Zebra Wine🦓 from Lauren Mote (@laurenmote)! ⬇️

🦓 Cascara Tea
🦓 Rhythmic Red NA Vermouth
🦓 Strawberry Shrub
🦓 Bittered Sling Arabica Coffee Bitters

📸: Jonathan C.

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here:

#totcf",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/327556325_711596667412408_4513885701178281121_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=5cPJQiSk5cwQ7kNvgHGzoqx&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&oh=00_AYCKi8J5brR4sXOKNHqnE1puTvuIh47LDD5OciPxiVJHPg&oe=66F683F4,6,0,1,0,6,1885,2298,2339
2023-01-27,"There's still time to advocate for the welfare + well being of bartenders and hospitality workers everywhere.✨ Join in our mission by submitting a 2023 grant proposal! 

We're accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of equity, mental health and more! The grant portal will close 1️⃣ week from today — February 3, 2023. Learn more about the process and submit here: https://bit.ly/3gCHC1o

#totcf #TOTCFGrant2023

Cointreau | Edrington Americas  | Bulleit",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/327800290_1246622829223946_4369295726277716304_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=qtU8JfNFxs4Q7kNvgGU15B4&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYDKt8iaXxielEmh4Ru8SV_kDC8K7Wo-xfo2WVKDBRPJ0g&oe=66F661D9,0,0,0,0,0,526,740,762
2023-01-28,"May we suggest a bloody brilliant 🍹Bloody Mary🍹 to spice up your Saturday? Enjoy this recipe from Remy Savage at abstract! ⬇️

🍹 50ml Marmite Monochrome
🍹 10ml Lemon
🍹 10ml Tomato Ponzu
🍹 100ml Tomato Juice
🍹 5ml Worcestershire
🍹 2.5ml Horseradish
🍹 2.5ml Wasabi
🍹 3dash Chilli Tincture

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-2.xx.fbcdn.net/v/t39.30808-6/327894284_5211871388914969_4655675970348228339_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=goWI2Jq8j8YQ7kNvgFRSxCS&_nc_ht=scontent-fra5-2.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYBH9Qs_qiiKHbmYdV5lbLiy-m-AK4OjPkGJRWLusY-Geg&oe=66F65D15,6,2,1,1,6,2815,3138,3138
2023-01-29,"Since 2008, more than 4️⃣0️⃣0️⃣ cocktail apprentices have gained extensive experience working and managing large-scale, high-volume events while providing an invaluable service to TOTCF and the industry as a whole — Now, you can join the ranks as a 2023 CAP Red Coat!🎓

There's 1️⃣ week left to apply, and receive world-class education & mentorship at #TOTC2023. Apply to become a CAP Red Coat now ➡️ https://bit.ly/3G1c51I

#CAPRedCoat2023  #CAP2023 #TalesoftheCocktail2023 #totc2023 #totcf",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/327883027_716279140157174_2856570779750850646_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=tTJdyaUdVAwQ7kNvgGug_Mc&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYCszad2FG55mHFFBQeNxJyVt4rbhLy5xgIX_XACMNQEIA&oe=66F6604D,4,0,0,7,5,2138,2408,2517
2023-01-30,"We're teaming up with Singapore Tourism Board to bring their high energy, high class cocktail culture to the U.S. — Spirited Awards Presents ATLAS!🥂✨

On February 6th, Forbes on 5th in New York City will be temporarily transformed into one of Singapore's most renowned bars and 2020 Spirited Award Winner for World’s Best Cocktail Menu, ATLAS! This event will bring ATLAS’ renowned bar program to life, right in the middle of Manhattan.💃🕺 

Learn more about the first in a series of Singapore pop-ups in 2023, 'Spirited Awards Presents ATLAS', here: http://bit.ly/3Y3eQam

#singaporextales 

ATLAS Singapore | Libbey | Woodford Reserve Bourbon Distillery | Cocktail Kingdom",https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/326079715_575262440854253_2326346102410408053_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7965db&_nc_ohc=mJofFNzxy_IQ7kNvgHhE4XC&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYDe7T3DPubi01xKPg5G114yy9iYsBYKtBugmuoUSOBVRw&oe=66F685B1,16,0,2,1,16,588,1021,1063
2023-01-31,"Let it be... let it be #BrandyAlexanderDay!✨  Enjoy John Lennon's favorite cocktail using this recipe from Liquor Studio ⬇️

🍫 50ml Cognac
🍫 20ml White Cacao Liqueur
🍫 5ml Sugar Syrup
🍫 20ml Cream

🍫 Shake it up with ice, strain into a frozen stemmed glass & top with grated nutmeg or chocolate

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/328147540_486767306984979_8500255548948174592_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=zEEYTv-iy6kQ7kNvgFfN-NG&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYBGgImF1TCRigFH3wxg1D9KXtMLCRArOmZ5KBFzZG7cKQ&oe=66F68346,25,0,5,1,29,3014,3690,3724
2023-02-01,"Nominations for the 17th annual Spirited Awards are open!🏆🍹 As one of the industry’s highest achievements, Spirited Awards® spotlight a range of talent from bartenders, journalists, and brand ambassadors, to brands and media, to ensure each aspect of the industry is well represented and recognized for its contributions.

The 17th annual Spirited Awards® will return with an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories, February 1-22, 2023. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged!

Learn more about the Spirited Awards and submit your nomination here: http://bit.ly/3Fgfkli

Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards.

#2023SpiritedAwards #SA2023 #SpiritedAwards #totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/328229372_577179487323089_8109432592571727647_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=21XTxiTawA4Q7kNvgEJ0AD_&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYBhCIiqx7DVetXSyGss_nhSm3XfHnlS7GVKcwKx0w68xg&oe=66F659FE,1,0,0,0,1,872,1112,1159
2023-02-01,"Nominations for the 17th annual Spirited Awards are open!🏆🍹 As one of the industry’s highest achievements, Spirited Awards® spotlight a range of talent from bartenders, journalists, and brand ambassadors, to brands and media, to ensure each aspect of the industry is well represented and recognized for its contributions.

The 17th annual Spirited Awards® will return with an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories, February 1-22, 2023. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged!

Learn more about the Spirited Awards and submit your nomination here: http://bit.ly/3Fgfkli

Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards.

#2023SpiritedAwards #SA2023 #SpiritedAwards #totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra3-2.xx.fbcdn.net/v/t15.5256-10/321940176_1503877537101719_7333257316461005491_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7965db&_nc_ohc=OwNzMpmJ9Z4Q7kNvgHa2INU&_nc_ht=scontent-fra3-2.xx&edm=AKIiGfEEAAAA&_nc_gid=AI__dgZBalaFAdCOgi_kh84&oh=00_AYCMiKRYp335IbqFKdssY1G3FBHzgXhC8_vBD1hpXPplOg&oe=66F67A2E,9,0,0,4,10,517,945,1002
