Date,Message,Image Link,Likes,Comments,Shares,Link Clicks,Engagement,Reach,Organic Reach,Impressions
2023-08-01,"Our 2023 Spirited Awards winners are now updated and live in the TOTCF Spirit Awards Directory!🏆 ⁠
⁠
The Spirit Awards Directory is an interactive, global map of the Spirited Awards winners, nominees, and honorees from the past 15 years! ⁠
⁠
🍹 Discover the best of the cocktail community and raise a glass to the 2023 Spirited Awards winners at the link in bio!⁠
⁠
#2023SpiritedAwards #SpiritedAwards #totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra5-2.cdninstagram.com/v/t51.2885-15/364330850_612887747599623_2537000785178503440_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=7emGC0D5u7sQ7kNvgHyhrW_&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYCbdUutradbGrd_ChI7lmXVRvRNCRzXCWr9_hfpuQvIQQ&oe=66F93FC0,510,5,,,526,8909,,9492
2023-08-02,"The New Orleans Spirit Competition recognizes fine spirits from top producers worldwide and sets the stage for a dazzling display, showcasing and celebrating the best spirits available today!⁠
⁠
🏅 Find this year's #NOSC Medalists, Spirits of the Year, and Packaging Excellence at the link in bio!🔗",https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/364339660_6491333447613635_1335771164002903190_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=npgf8HzXixkQ7kNvgFBPthq&_nc_ht=scontent-fra5-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYD3EZRo21RjhKLZ5g9ODMSfJ8QoWBY-IwoFQID4PJYtDw&oe=66F90C69,126,1,,,131,7086,,7530
2023-08-03,"Bringing our Best to Tales since 2006! 🎉⁠
⁠
The Ambassadors of William Grant & Sons always save their best for Tales of the Cocktail, and this year was no different.⁠
⁠
The famed William Grant Portfolio Party is a thank you to bartenders, a love letter to the industry, and an opportunity for ten Australian bars to journey to New Orleans to showcase some of the best cocktails and hospitality in the world right now!🍹⁠
⁠
Thanks so much to: @aboveboardbarmelb | @thebaxterinnsydney | @byrdimelb | @cantina.ok | @caretakers.cottage | @maybemaebasement | @maybe_sammy_sydney | @ramblinrascaltavern | @_wearere | @night.hawk.sg⁠
⁠
And congratulations to @centurygrandphx on your Spirited Award for Best U.S. Cocktail Bar! 🎉⁠
⁠
📸: @fabsinthe⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf #cocktail #party #australianbartender #williamgrantandsons #brandambassador",https://scontent-fra5-2.cdninstagram.com/v/t51.2885-15/364305421_240763712242618_6347963116486999399_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=Cdkq7H2jcW0Q7kNvgFolt74&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYA91grmb2xD18xq9feliAnHOrLsksuYFRaIjHoIOJHQKw&oe=66F91B4F,1023,23,,,1099,12092,,15568
2023-08-04,"Indulge in the smoothness of this 🔴 Red Velvet 🔴 recipe from @fabrizio_astudillo! ⬇️⁠
⁠
🥃 45 ml The Glenlivet 15⁠
🍷 37.5 ml Dolin Blanc⁠
🔴 7.5 ml Cranberry⁠
🍋 6 Drops of Citrus Solution⁠
🍊 2 Drops of Orange Bitters⁠
⁠
📸: @y.o.r.c.h⁠
⁠
TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!🔗⁠
⁠
#totcf",https://scontent-fra3-2.cdninstagram.com/v/t51.2885-15/365103297_295716979777454_8974568227428875530_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=5f1HE3rJgJ4Q7kNvgHsahaK&_nc_ht=scontent-fra3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYBrpAnaujV5uCzKqKRXvildeCYgc4-_8SYPR0Vvlrj54w&oe=66F91A8F,1675,26,,,2035,27141,,28333
2023-08-07,"How was your time at Tales of the Cocktail 2023? We'd love to hear about it! 🌟 ⁠
⁠
Help us make next year's event even more amazing by completing our UNO Economic Impact Survey and be entered for a chance to win 2 VIP Tickets to Tales of the Cocktail 2024! 🎉⁠
⁠
Find the survey at the link in bio!🔗⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/365435567_1500566644094315_5161006865211395970_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=ABOKoKpe6W0Q7kNvgEac1Lf&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYBNwDlU_xZs4s2HxWyyU-aW49JjtfRFmKHs30_zqAyrKA&oe=66F922FA,82,1,,,108,7174,,7445
2023-08-07,"Get ready to raise the bar in sustainability – TOTCF's Sustainable Cocktail Challenge sponsored by @flordecanarum is here! 🌱⁠
⁠
This global competition inspires the bartending community to become champions of sustainability and build a greener future together by creating spectacular cocktails using sustainable ingredients and techniques.⁠
⁠
🏆 For a chance to win $10,000 and the ""Flor de Caña World's Most Sustainable Bartender"" title at the Global Final in Nicaragua this February, enter your sustainable cocktail at the link in bio!⁠
⁠
#FlordeCanaSustainableCocktailChallenge2024 #SustainableChallenge #FlordeCaña",https://scontent-fra5-1.cdninstagram.com/o1/v/t16/f1/m82/634DA6F5D86463336EAC4D6F979865A7_video_dashinit.mp4?_nc_ht=scontent-fra5-1.cdninstagram.com&vs=118765037973081_655287798&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC82MzREQTZGNUQ4NjQ2MzMzNkVBQzRENkY5Nzk4NjVBN192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dCZEcweFdlS0pGdDNoVUJBRzJBRnJGZWRiaFZicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJoTt%2FsTelvc%2FFQIoAkMzLBdAMyLQ5WBBiRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYC1FFFSIHXXi1KoXJmF9sgTQ8fnHs4Q_jLk9fdzajC96g&oe=66F53AA4&_nc_sid=1d576d,729,6,,,942,31401,,
2023-08-07,"📣 Calling service industry professionals! Tales of the Cocktail Foundation, with the help of our incredible partners, has some exciting programming coming up – with chances to win trips to the U.K., Mexico, or Nicaragua and prizes up to $20,000! Whether you're interested in sustainability, specific products, or flexing creativity, you won't want to miss the chance to get involved. ⁠
⁠
Subscribe to our newsletter for more information on each opportunity and links to sign up delivered right to your inbox at the 🔗 in bio!⁠
⁠
Photography by: @btarnowski⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/365492822_1604729736687539_5693432999690206196_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=GOeC8rEkEhkQ7kNvgGM_yeQ&_nc_ht=scontent-fra5-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYCru9aoffZbdLoH5soQ4L3QyLUgEvqzTxpomZRR17jxMQ&oe=66F929F3,392,3,,,422,12871,,13636
2023-08-08,"Jack Daniel’s wants to thank every single one of you that showed up and showed out at our big event Monday night at Tales of the Cocktail this year.👏 We felt the love, support and energy from you all. We hope you sang your heart out & enjoyed some amazing Jack Daniel’s cocktails and maybe found a new favorite Jack to pour at your bar! ⁠
⁠
We can’t wait to see you all next year. Until then - you all lived our mantra to #MakeJackProud! 🥃",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/365768892_675278141287915_6216093472819309081_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=B-wyqAwXXXYQ7kNvgFV1unO&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYClRDtWKYTKmPazc2Y2ZNjOcGlFyNCsyk36K5Hi44mmwA&oe=66F93F8A,1084,18,,,1225,16560,,21366
2023-08-08,"🌟 Beyond the Bar at #totc2023 was an incredible journey of empowerment and well-being! ⁠
⁠
Participants dove into a world of health & wellness workshops, no & low options, and daily fitness activities while fostering inclusivity and strengthening the drinks industry community.🍹⁠
⁠
Photography by: @coryjames_fontenot⁠
Photography by: @jamescfrench⁠
Photography by: @freelancecajun⁠
⁠
#totc #TalesoftheCocktail2023 #totcf",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/365939327_671020461597878_562268052942064867_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=DVe-6LShfjIQ7kNvgFa8A92&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYB4GZRicg32kJbjqJRzk61FoWfOekXqkK8ndYcFN5lSWA&oe=66F90BD8,265,3,,,283,6470,,8475
2023-08-09,"Green with envy over this 🟩 Green Team 🟩 recipe from @the_bitterfairy! ⬇️⁠
⁠
🍸 2 oz Mezcal⁠
🥒 A Few Big Chunks of Cucumber⁠
🟩 1 oz Lime Juice⁠
🌶️ A Few Slices of Jalapeno – To Taste⁠
🍯 1/2 oz Agave Syrup – To Taste⁠
🟩 Zest of One Lime⁠
🧂 Small Pinch of Salt⁠
⁠
✨ Blend all ingredients, fine strain and adjust proportions to taste (you might like a bit more agave or mezcal or salt.)⁠
✨ Shake strained liquid with ice and serve over ice. Optional: salted rim.⁠
⁠
TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!🔗⁠
⁠
#totcf",https://scontent-fra3-2.cdninstagram.com/v/t51.2885-15/366431676_1440542903458219_2085523863686387286_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=KIaA-OIAhLkQ7kNvgGU7IJT&_nc_ht=scontent-fra3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYAjiUQNsHP6gY9hLoKvKHE44fMp4nyS81wk86lghIkAaA&oe=66F92D0A,613,5,,,788,13090,,13862
