Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-01-26,"We'd travel all the way to the savanna for this recipe — After all, it's 'wine' in a million! Enjoy the Zebra Wine from Lauren Mote (@laurenmote)! Cascara Tea Rhythmic Red NA Vermouth Strawberry Shrub Bittered Sling Arabica Coffee Bitters : Jonathan C. fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: fooBar",6,2339,0,0,FB Organic
2023-01-27,"There's still time to advocate for the welfare + well being of bartenders and hospitality workers everywhere. Join in our mission by submitting a 2023 grant proposal! We're accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of equity, mental health and more! The grant portal will close 1 week from today — February 3, 2023. Learn more about the process and submit here: https://bit.ly/3gCHC1o fooBar fooBar Cointreau | Edrington Americas | Bulleit",0,762,0,0,FB Organic
2023-01-28,May we suggest a bloody brilliant Bloody Mary to spice up your Saturday? Enjoy this recipe from Remy Savage at abstract! 50ml Marmite Monochrome 10ml Lemon 10ml Tomato Ponzu 100ml Tomato Juice 5ml Worcestershire 2.5ml Horseradish 2.5ml Wasabi 3dash Chilli Tincture fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,6,3138,2,1,FB Organic
2023-01-29,"Since 2008, more than 400 cocktail apprentices have gained extensive experience working and managing large-scale, high-volume events while providing an invaluable service to fooBar and the industry as a whole — Now, you can join the ranks as a 2023 CAP Red Coat! There's 1 week left to apply, and receive world-class education & mentorship at fooBar. Apply to become a CAP Red Coat now https://bit.ly/3G1c51I #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar",4,2517,0,7,FB Organic
2023-01-30,"We're teaming up with Singapore Tourism Board to bring their high energy, high class cocktail culture to the U.S. — Spirited Awards Presents ATLAS! On February 6th, Forbes on 5th in New York City will be temporarily transformed into one of Singapore's most renowned bars and 2020 Spirited Award Winner for World’s Best Cocktail Menu, ATLAS! This event will bring ATLAS’ renowned bar program to life, right in the middle of Manhattan. Learn more about the first in a series of Singapore pop-ups in 2023, 'Spirited Awards Presents ATLAS', here: http://bit.ly/3Y3eQam #singaporextales ATLAS Singapore | Libbey | Woodford Reserve Bourbon Distillery | Cocktail Kingdom",16,1063,0,1,FB Organic
2023-01-31,"Let it be... let it be #BrandyAlexanderDay! Enjoy John Lennon's favorite cocktail using this recipe from Liquor Studio 50ml Cognac 20ml White Cacao Liqueur 5ml Sugar Syrup 20ml Cream Shake it up with ice, strain into a frozen stemmed glass & top with grated nutmeg or chocolate fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",25,3724,0,1,FB Organic
2023-02-01,"Nominations for the 17th annual Spirited Awards are open! As one of the industry’s highest achievements, Spirited Awards® spotlight a range of talent from bartenders, journalists, and brand ambassadors, to brands and media, to ensure each aspect of the industry is well represented and recognized for its contributions. The 17th annual Spirited Awards® will return with an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories, February 1-22, 2023. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged! Learn more about the Spirited Awards and submit your nomination here: http://bit.ly/3Fgfkli Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards. #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",1,1159,0,0,FB Organic
2023-02-01,"Nominations for the 17th annual Spirited Awards are open! As one of the industry’s highest achievements, Spirited Awards® spotlight a range of talent from bartenders, journalists, and brand ambassadors, to brands and media, to ensure each aspect of the industry is well represented and recognized for its contributions. The 17th annual Spirited Awards® will return with an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories, February 1-22, 2023. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged! Learn more about the Spirited Awards and submit your nomination here: http://bit.ly/3Fgfkli Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards. #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",9,1002,0,4,FB Organic
2023-02-02,"Tomorrow is your last opportunity to join us in advancing + supporting our global drinks community through the 2023 philanthropy and development grant program! The fooBar 2023 grant process is focused on bartender welfare & well-being. If you have a project that could improve the lives of hospitality workers, submit your proposal by end of day on 2/2 here: https://bit.ly/3gCHC1o fooBar fooBar Cointreau | Edrington Americas | Bulleit",1,838,0,1,FB Organic
2023-02-03,"Discover ATLAS — The lobby bar on the ground floor of Singapore’s iconic Budis neighborhood building, Parkview Square. It features distinctive architecture which is inspired by the glamorous Art Deco skyscrapers of Europe and New York City. While its appearance may lead you in one direction, ATLAS' rambunctious 1920s spirit soon takes over and you'll find yourself at Singapore’s most lavish party. It is for this uniqueness that Atlas has won Spirited Awards for Best International Cocktail Bar, World's Best Spirits Selection, and World's Best Cocktail Menu. It is also for this reason that we selected ATLAS to celebrate the nomination period for the 2023 Spirited Awards in New York! Learn more about the event and other ways fooBar is teaming up with Singapore Tourism Board here: https://fooBar.org/get-involved/singapore-x-tales/ Entrance is limited for this event. All guests must register to attend. #SingaporexTales #SpiritedAwards #2023SpiritedAwards #SA2023 ATLAS Singapore | Libbey | Woodford Reserve Bourbon Distillery | Cocktail Kingdom",5,993,0,1,FB Organic
