Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-01-17,"Diversity within our drinks community, whether it be unique traditions or customs, define the history and future of our industry. Below are several more stories we previously highlighted in order to educate on adversities faced because of race and culture, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry ⁠ ⁠ For #LatinHeritageMonth, @anthonymixology, Bar Manager at @doyarestaurant, reflected on interconnection of latin cultures, the nostalgia & tradition in his bar program, and what it means to him to be Latin American.⁠ For #NativeAmericanHeritageMonth, @chocktails, Co-founder of @doommersive and⁠ Indigenous Hospitality Activist, touched on the Indigenous contributions to the drink space and highlighted Indigenous people changing the landscape of our industry today.⁠ For #Juneteenth, @thedrinkingcoach recounts the history of the holiday, her childhood experiences on it, and speaks to the Red Drink being a solid symbol of liberation, happiness, and recognition of her ancestors.⁠ ⁠ Explore each of their stories at the link in bio.⁠ ⁠ fooBar fooBar",63,5404.0,0,0.0,Insta Organic
2023-01-18,A delicious cocktail + An excellent literary reference = 'Grapeness' achieved! Check out the Grapes of Wrath recipe from @cocktailsbyjesse & @cognacreverie! ⁠ ⁠ Hennessy VS⁠ Orgeat⁠ Lemon⁠ Giffard Apricot⁠ Angostura⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar,332,10161.0,2,0.0,Insta Organic
2023-01-25,"Happy #IrishCoffeeDay! We're celebrating with the the Lords of the Beans themselves, @bushmillsusa & @deadrabbitnyc! Check out the photo + recipe from their fooBar event — ""The Dead Rabbit Comes to Nola!"" ⁠ ⁠ Bushmills Original⁠ Demerara ⁠ Aromatic Coffee ⁠ Freshly Whipped Cream⁠ ⁠ : @btarnowski⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",260,6761.0,1,0.0,Insta Organic
2023-01-26,"We'd travel all the way to the savanna for this recipe — After all, it's 'wine' in a million! Enjoy the Zebra Wine from @laurenmote! ⁠ ⁠ Cascara Tea⁠ Rhythmic Red NA Vermouth⁠ Strawberry Shrub⁠ @bittered_sling Arabica Coffee Bitters⁠ ⁠ : @chefjonathanc⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",173,6256.0,4,0.0,Insta Organic
2023-01-27,"There's still time to advocate for the welfare + well being of bartenders and hospitality workers everywhere. Join in our mission by submitting a 2023 grant proposal! ⁠ ⁠ We're accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of equity, mental health and more! The grant portal will close 1 week from today — February 3, 2023. Learn more about the process and submit at the link in bio.⁠ ⁠ fooBar fooBar⁠ ⁠ @Cointreau_US | @EdringtonAmericas | @Bulleit",56,4983.0,0,0.0,Insta Organic
2023-01-28,May we suggest a bloody brilliant Bloody Mary to spice up your Saturday? Enjoy this recipe from @remy_savage_ at @abstract_bistrot_! ⁠ ⁠ 50ml Marmite Monochrome⁠ 10ml Lemon⁠ 10ml Tomato Ponzu⁠ 100ml Tomato Juice⁠ 5ml Worcestershire⁠ 2.5ml Horseradish⁠ 2.5ml Wasabi⁠ 3dash Chilli Tincture⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar,252,9598.0,0,0.0,Insta Organic
2023-01-29,"Since 2008, more than 400 cocktail apprentices have gained extensive experience working and managing large-scale, high-volume events while providing an invaluable service to fooBar and the industry as a whole — Now, you can join the ranks as a 2023 CAP Red Coat!⁠ ⁠ There's 1 week left to apply, and receive world-class education & mentorship at fooBar. Apply to become a CAP Red Coat now at the link in bio.⁠ ⁠ #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar⁠ ⁠ @cocktailapprentice | @Tkallies | @crisdehlavi | @slayy_her, | @girlnamedju | @alexbsmith1 | @thebittersgirl | @howieinthejungle | @courvoisierusa | @campariusa | @crownroyal | @josecuervotequila | @sazerachouse",522,26960.0,6,0.0,Insta Organic
2023-01-30,"We're teaming up with @stb_sg to bring their high-energy, high-class cocktail culture to the U.S. — Spirited Awards Presents: ATLAS!⁠ ⁠ On February 6th, Forbes on 5th in New York City will be temporarily transformed into one of Singapore's most renowned bars and 2020 Spirited Award Winner for World’s Best Cocktail Menu, ATLAS! This event will bring ATLAS’ renowned bar program to life right in the middle of Manhattan. ⁠ ⁠ Learn more about the first in a series of Singapore pop-ups in 2023, 'Spirited Awards Presents ATLAS', at the link in bio.⁠ ⁠ #SingaporexTales⁠ ⁠ @atlasbarsg | @banananaism | @libbeypro | @woodfordreserve | @cocktailkingdom",2241,0.0,23,0.0,Insta Organic
2023-01-31,"Let it be... let it be #BrandyAlexanderDay! Enjoy John Lennon's favorite cocktail using this recipe from @liquorstudioleeds ⁠ ⁠ 50ml Cognac⁠ 20ml White Cacao Liqueur⁠ 5ml Sugar Syrup⁠ 20ml Cream⁠ ⁠ Shake it up with ice, strain into a frozen stemmed glass & top with grated nutmeg or chocolate⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",365,10974.0,4,0.0,Insta Organic
2023-02-01,"Nominations for the 17th annual Spirited Awards are open! As one of the industry’s highest achievements, Spirited Awards® spotlight a range of talent from bartenders, journalists, and brand ambassadors, to brands and media, to ensure each aspect of the industry is well represented and recognized for its contributions.⁠ ⁠ The 17th annual Spirited Awards® will return with an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories, February 1-22, 2023. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged!⁠ ⁠ Learn more about the Spirited Awards and submit your nomination at the link in bio.⁠ ⁠ Special thanks to @Forbes, the Official Media Partner of the 2023 Spirited Awards.⁠ ⁠ #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",267,0.0,5,0.0,Insta Organic
