Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-08-26,fooBar Foundation is seeking awesome candidates to join our team! Please feel free to share this opportunity with your networks. Thank you!,0,1080,1,64,Linkedin Organic
2024-02-03,fooBar Foundation is seeking awesome candidates to join our team! Please feel free to share this opportunity with your networks. Thank you!,0,908,1,62,Linkedin Organic
2024-02-10,fooBar Foundation is seeking awesome candidates to join our team! Please feel free to share this opportunity with your networks. Thank you!,0,749,0,50,Linkedin Organic
2024-04-27,fooBar Foundation is seeking awesome candidates to join our team! Please feel free to share this opportunity with your networks. Thank you!,0,825,0,32,Linkedin Organic
2024-09-21,fooBar Foundation is seeking awesome candidates to join our team! Please feel free to share this opportunity with your networks. Thank you!,0,257,0,15,Linkedin Organic
